frame,lady,x_start,x_end,y_start,y_end,movie,count
1,3,1540,1644,342,446,3,3
1,1,296,400,365,469,3,3
1,2,883,987,388,492,3,3
2,3,1540,1644,342,446,3,3
2,1,296,400,365,469,3,3
2,2,883,987,388,492,3,3
3,3,1540,1644,342,446,3,3
3,1,296,400,365,469,3,3
3,2,883,987,388,492,3,3
4,3,1540,1644,342,446,3,3
4,1,296,400,365,469,3,3
4,2,883,987,388,492,3,3
5,3,1540,1644,342,446,3,3
5,1,296,400,365,469,3,3
5,2,883,987,388,492,3,3
6,3,1540,1644,342,446,3,3
6,1,296,400,365,469,3,3
6,2,883,987,388,492,3,3
7,3,1540,1644,342,446,3,3
7,1,296,400,365,469,3,3
7,2,883,987,388,492,3,3
8,3,1540,1644,342,446,3,3
8,1,296,400,365,469,3,3
8,2,883,987,388,492,3,3
9,3,1540,1644,342,446,3,3
9,1,296,400,365,469,3,3
9,2,883,987,388,492,3,3
10,3,1540,1644,342,446,3,3
10,1,296,400,365,469,3,3
10,2,883,987,388,492,3,3
11,3,1540,1644,342,446,3,3
11,1,296,400,365,469,3,3
11,2,883,987,388,492,3,3
12,3,1540,1644,342,446,3,3
12,1,296,400,365,469,3,3
12,2,883,987,388,492,3,3
13,3,1540,1644,342,446,3,3
13,1,296,400,365,469,3,3
13,2,883,987,388,492,3,3
14,3,1540,1644,342,446,3,3
14,1,296,400,365,469,3,3
14,2,883,987,388,492,3,3
15,3,1540,1644,342,446,3,3
15,1,296,400,365,469,3,3
15,2,883,987,388,492,3,3
16,3,1540,1644,342,446,3,3
16,1,296,400,365,469,3,3
16,2,883,987,388,492,3,3
17,3,1540,1644,342,446,3,3
17,1,296,400,365,469,3,3
17,2,883,987,388,492,3,3
18,3,1540,1644,342,446,3,3
18,1,296,400,365,469,3,3
18,2,883,987,388,492,3,3
19,3,1540,1644,342,446,3,3
19,1,296,400,365,469,3,3
19,2,883,987,388,492,3,3
20,3,1540,1644,342,446,3,3
20,1,296,400,365,469,3,3
20,2,883,987,388,492,3,3
21,3,1540,1644,342,446,3,3
21,1,296,400,365,469,3,3
21,2,883,987,388,492,3,3
22,3,1540,1644,342,446,3,3
22,1,296,400,365,469,3,3
22,2,883,987,388,492,3,3
23,3,1540,1644,342,446,3,3
23,1,296,400,365,469,3,3
23,2,883,987,388,492,3,3
24,3,1540,1644,342,446,3,3
24,1,296,400,365,469,3,3
24,2,883,987,388,492,3,3
25,3,1540,1644,342,446,3,3
25,1,296,400,365,469,3,3
25,2,883,987,388,492,3,3
26,3,1540,1644,342,446,3,3
26,1,296,400,365,469,3,3
26,2,883,987,388,492,3,3
27,3,1540,1644,342,446,3,3
27,1,296,400,365,469,3,3
27,2,883,987,388,492,3,3
28,3,1540,1644,342,446,3,3
28,1,296,400,365,469,3,3
28,2,867,991,383,507,3,3
29,3,1540,1644,342,446,3,3
29,1,296,400,365,469,3,3
29,2,867,991,383,507,3,3
30,3,1540,1644,342,446,3,3
30,1,296,400,365,469,3,3
30,2,872,976,388,492,3,3
31,3,1540,1644,342,446,3,3
31,1,286,411,369,494,3,3
31,2,872,976,388,492,3,3
32,3,1540,1644,342,446,3,3
32,1,286,411,369,494,3,3
32,2,872,976,388,492,3,3
33,3,1540,1644,342,446,3,3
33,1,286,411,369,494,3,3
33,2,872,976,388,492,3,3
34,3,1540,1644,342,446,3,3
34,1,286,411,369,494,3,3
34,2,872,976,388,492,3,3
35,3,1540,1644,342,446,3,3
35,1,286,411,369,494,3,3
35,2,872,976,388,492,3,3
36,3,1540,1644,342,446,3,3
36,1,286,411,369,494,3,3
36,2,872,976,388,492,3,3
37,3,1540,1644,342,446,3,3
37,1,286,411,369,494,3,3
37,2,872,976,388,492,3,3
38,3,1540,1644,342,446,3,3
38,1,286,411,369,494,3,3
38,2,872,976,388,492,3,3
39,3,1540,1644,342,446,3,3
39,1,286,411,369,494,3,3
39,2,872,976,388,492,3,3
40,3,1540,1644,342,446,3,3
40,1,286,411,369,494,3,3
40,2,872,976,388,492,3,3
41,3,1529,1632,342,446,3,3
41,1,286,411,369,494,3,3
41,2,872,976,388,492,3,3
42,3,1529,1632,342,446,3,3
42,1,286,411,369,494,3,3
42,2,872,976,388,492,3,3
43,3,1529,1632,342,446,3,3
43,2,872,976,388,492,3,3
43,1,286,411,369,494,3,3
44,3,1529,1632,342,446,3,3
44,2,872,976,388,492,3,3
44,1,286,411,369,494,3,3
45,3,1529,1632,342,446,3,3
45,2,872,976,388,492,3,3
45,1,286,411,369,494,3,3
46,3,1517,1621,342,446,3,3
46,2,872,976,388,492,3,3
46,1,286,411,369,494,3,3
47,3,1503,1627,342,466,3,3
47,2,872,976,388,492,3,3
47,1,286,411,369,494,3,3
48,3,1505,1609,342,446,3,3
48,2,872,976,388,492,3,3
48,1,296,400,365,469,3,3
49,3,1489,1613,342,466,3,3
49,1,296,400,365,469,3,3
49,2,872,976,388,492,3,3
50,3,1489,1613,342,466,3,3
50,2,872,976,388,492,3,3
50,1,296,400,365,469,3,3
51,3,1494,1598,342,446,3,3
51,1,296,400,365,469,3,3
51,2,872,976,388,492,3,3
52,3,1494,1598,353,457,3,3
52,1,296,400,365,469,3,3
52,2,872,976,400,503,3,3
53,3,1494,1598,353,457,3,3
53,1,296,400,365,469,3,3
53,2,872,976,411,515,3,3
54,3,1494,1598,353,457,3,3
54,1,286,411,369,494,3,3
54,2,872,976,411,515,3,3
55,3,1494,1598,353,457,3,3
55,1,296,400,377,480,3,3
55,2,867,976,355,515,3,3
56,3,1494,1598,365,469,3,3
56,1,296,400,319,423,3,3
56,2,869.5,983.5,383,497.5,3,3
57,3,1505,1609,377,480,3,3
57,1,297,401,377,480,3,3
57,2,872,991,411,480,3,3
58,3,1505,1609,377,480,3,3
58,2,867,991,355,480,3,3
58,1,296,400,319,423,3,3
59,3,1505,1609,365,469,3,3
59,1,296,400,307,411,3,3
59,2,867,987,355,503,3,3
60,3,1503,1627,355,480,3,3
60,1,296,400,319,423,3,3
60,2,883,991,400,480,3,3
61,3,1517,1621,353,457,3,3
61,2,883,987,400,503,3,3
61,1,296,400,319,423,3,3
62,3,1517,1621,342,446,3,3
62,1,301.5,405.5,365,469,3,3
62,2,872,976,330,434,3,3
63,3,1533,1619,342,429,3,3
63,1,307,411,411,515,3,3
63,2,877.5,981.5,365,468.5,3,3
64,3,1529,1632,342,446,3,3
64,1,307,411,411,515,3,3
64,2,883,987,400,503,3,3
65,3,1529,1632,342,446,3,3
65,1,307,411,400,503,3,3
65,2,872,976,330,434,3,3
66,3,1529,1632,353,457,3,3
66,2,872,976,330,434,3,3
66,1,286,411,355,480,3,3
67,3,1540,1644,353,457,3,3
67,1,286,400,355,423,3,3
67,2,872,976,330,434,3,3
68,3,1540,1644,353,457,3,3
68,1,296,400,319,423,3,3
68,2,874.75,978.75,330,434,3,3
69,3,1540,1644,342,446,3,3
69,1,296,400,307,411,3,3
69,2,877.5,981.5,330,434,3,3
70,3,1540,1644,342,446,3,3
70,1,296,400,296,400,3,3
70,2,880.25,984.25,330,434,3,3
71,3,1540,1644,342,446,3,3
71,1,284,388,307,411,3,3
71,2,883,987,330,434,3,3
72,3,1540,1644,342,446,3,3
72,2,883,987,330,434,3,3
72,1,284,388,330,434,3,3
73,3,1540,1644,353,457,3,3
73,1,284,388,377,480,3,3
73,2,883,987,330,434,3,3
74,3,1540,1644,353,457,3,3
74,1,284,388,377,480,3,3
74,2,883,987,388,492,3,3
75,3,1540,1644,353,457,3,3
75,1,284,388,377,480,3,3
75,2,884,988,330,434,3,3
76,3,1540,1644,342,446,3,3
76,2,883,987,388,492,3,3
76,1,286,411,286,411,3,3
77,3,1540,1644,342,446,3,3
77,1,286,411,286,411,3,3
77,2,883,987,330,434,3,3
78,3,1540,1644,330,434,3,3
78,1,286,411,259,383,3,3
78,2,884,988,388,492,3,3
79,3,1540,1644,330,434,3,3
79,1,300,424,272,397,3,3
79,2,883,987,330,434,3,3
80,3,1552,1638,342,429,3,3
80,1,307,411,284,388,3,3
80,2,872,976,330,434,3,3
81,3,1552,1655,342,446,3,3
81,1,307,411,273,377,3,3
81,2,872,976,400,503,3,3
82,3,1552,1655,353,457,3,3
82,1,307.1666667,411.1666667,274.8333333,378.8333333,3,3
82,2,872.5,976.5,365,468.5,3,3
83,3,1552,1655,353,457,3,3
83,1,307.3333333,411.3333333,276.6666667,380.6666667,3,3
83,2,873,977,330,434,3,3
84,3,1552,1655,342,446,3,3
84,2,872,976,400,503,3,3
84,1,307.5,411.5,278.5,382.5,3,3
85,3,1552,1655,330,434,3,3
85,1,307.6666667,411.6666667,280.3333333,384.3333333,3,3
85,2,872,976,400,503,3,3
86,3,1552,1655,330,434,3,3
86,1,307.8333333,411.8333333,282.1666667,386.1666667,3,3
86,2,883,987,342,446,3,3
87,2,883,987,342,446,3,3
87,3,1552,1655,330,434,3,3
