frame,lady,x_start,x_end,y_start,y_end,movie,count
55,2,989,1061,389,461,1,3
55,3,1542.066667,1614.066667,365,437,1,3
56,1,277,349,397,469,1,3
56,2,989,1061,389,461,1,3
56,3,1543.133333,1615.133333,365,437,1,3
57,1,277,349,397,469,1,3
57,2,997,1069,373,445,1,3
57,3,1544.2,1616.2,365,437,1,3
58,2,997,1069,373,445,1,3
58,3,1545.266667,1617.266667,365,437,1,3
58,1,,,,,1,3
59,1,269,341,373,445,1,3
59,2,998.7142857,1070.714286,374.7142857,446.7142857,1,3
59,3,1546.333333,1618.333333,365,437,1,3
60,1,261,333,365,437,1,3
60,2,1000.428571,1072.428571,376.4285714,448.4285714,1,3
60,3,1547.4,1619.4,365,437,1,3
61,1,261,333,357,429,1,3
61,2,1002.142857,1074.142857,378.1428571,450.1428571,1,3
61,3,1548.466667,1620.466667,365,437,1,3
62,1,253,325,349,421,1,3
62,2,1003.857143,1075.857143,379.8571429,451.8571429,1,3
62,3,1549.533333,1621.533333,365,437,1,3
63,1,,,,,1,3
63,2,,,,,1,3
63,3,,,,,1,3
64,1,253,325,349,421,1,3
64,2,1007.285714,1079.285714,383.2857143,455.2857143,1,3
64,3,1551.666667,1623.666667,365,437,1,3
65,1,253,325,349,421,1,3
65,2,1009,1081,385,457,1,3
65,3,1552.733333,1624.733333,365,437,1,3
66,1,245,317,397,469,1,3
66,2,1010.714286,1082.714286,386.7142857,458.7142857,1,3
66,3,1553.8,1625.8,365,437,1,3
67,1,249,321,373,445,1,3
67,2,1012.428571,1084.428571,388.4285714,460.4285714,1,3
67,3,1554.866667,1626.866667,365,437,1,3
68,1,253,325,349,421,1,3
68,2,1014.142857,1086.142857,390.1428571,462.1428571,1,3
68,3,1555.933333,1627.933333,365,437,1,3
69,1,245,317,397,469,1,3
69,2,1015.857143,1087.857143,391.8571429,463.8571429,1,3
69,3,1557,1629,365,437,1,3
70,1,245,317,397,469,1,3
70,3,1541,1613,365,437,1,3
70,2,1017.571429,1089.571429,393.5714286,465.5714286,1,3
71,1,253,325,397,469,1,3
71,2,1019.285714,1091.285714,395.2857143,467.2857143,1,3
71,3,1541,1613,373,445,1,3
72,1,253,325,381,453,1,3
72,2,1021,1093,397,469,1,3
72,3,1541.071429,1613.071429,372.4285714,444.4285714,1,3
