frame,lady,x_start,x_end,y_start,y_end,movie,count
1,3,1549,1621,381,453,5,3
1,2,925,997,381,453,5,3
1,1,213,285,373,445,5,3
2,3,1549,1621,381,453,5,3
2,2,925,997,381,453,5,3
2,1,213.5,285.5,373,445,5,3
3,3,1549,1621,381,453,5,3
3,2,925,997,381,453,5,3
3,1,214,286,373,445,5,3
4,3,1549,1621,381,453,5,3
4,2,925,997,381,453,5,3
4,1,213,285,373,445,5,3
5,3,1549,1621,381,453,5,3
5,2,925,997,381,453,5,3
5,1,213,285,373,445,5,3
6,3,1549,1621,381,453,5,3
6,2,925,997,381,453,5,3
6,1,213,285,373,445,5,3
7,3,1549,1621,381,453,5,3
7,2,925,997,381,453,5,3
7,1,213,285,373,445,5,3
8,3,1549,1621,381,453,5,3
8,2,925,997,381,453,5,3
8,1,213,285,373,445,5,3
9,3,1549,1621,381,453,5,3
9,2,925,997,381,453,5,3
9,1,213,285,373,445,5,3
10,3,1549,1621,381,453,5,3
10,2,925,997,381,453,5,3
10,1,213,285,373,445,5,3
11,3,1549,1621,381,453,5,3
11,2,925,997,381,453,5,3
11,1,213,285,373,445,5,3
12,3,1549,1621,381,453,5,3
12,2,925,997,381,453,5,3
12,1,213,285,373,445,5,3
13,3,1549,1621,381,453,5,3
13,2,925,997,381,453,5,3
13,1,213,285,373,445,5,3
14,3,1549,1621,381,453,5,3
14,2,925,997,381,453,5,3
14,1,213,285,373,445,5,3
15,3,1549,1621,381,453,5,3
15,2,925,997,381,453,5,3
15,1,213,285,373,445,5,3
16,3,1549,1621,381,453,5,3
16,2,925,997,381,453,5,3
16,1,213,285,373,445,5,3
17,3,1549,1621,381,453,5,3
17,2,925,997,381,453,5,3
17,1,213,285,373,445,5,3
18,3,1549,1621,381,453,5,3
18,2,925,997,381,453,5,3
18,1,213,285,373,445,5,3
19,3,1549,1621,381,453,5,3
19,2,925,997,381,453,5,3
19,1,213,285,373,445,5,3
20,3,1549,1621,381,453,5,3
20,2,925,997,381,453,5,3
20,1,213,285,373,445,5,3
21,3,1549,1621,381,453,5,3
21,2,925,997,381,453,5,3
21,1,213,285,373,445,5,3
22,3,1549,1621,381,453,5,3
22,2,925,997,381,453,5,3
22,1,213,285,373,445,5,3
23,3,1549,1621,381,453,5,3
23,2,925,997,381,453,5,3
23,1,213,285,373,445,5,3
24,3,1549,1621,381,453,5,3
24,2,925,997,381,453,5,3
24,1,213,285,373,445,5,3
25,3,1549,1621,381,453,5,3
25,2,925,997,381,453,5,3
25,1,213,285,373,445,5,3
26,3,1549,1621,381,453,5,3
26,2,925,997,381,453,5,3
26,1,213,285,373,445,5,3
27,3,1549,1621,381,453,5,3
27,2,925,997,381,453,5,3
27,1,213,285,381,453,5,3
28,3,1549,1621,381,453,5,3
28,2,925,997,381,453,5,3
28,1,213,285,381,453,5,3
29,3,1549,1621,381,453,5,3
29,2,925,997,381,453,5,3
29,1,213,285,381,453,5,3
30,3,1549,1621,381,453,5,3
30,2,925,997,381,453,5,3
30,1,213,285,381,453,5,3
31,3,1549,1621,381,453,5,3
31,2,925,997,381,453,5,3
31,1,213,285,389,461,5,3
32,3,1549,1621,381,453,5,3
32,2,925,997,381,453,5,3
32,1,213,285,389,461,5,3
33,3,1549,1621,381,453,5,3
33,2,925,997,381,453,5,3
33,1,213,285,389,461,5,3
34,3,1541,1613,381,453,5,3
34,2,925,997,381,453,5,3
34,1,213.0555556,285.0555556,389,461,5,3
35,3,1541,1613,381,453,5,3
35,2,925,997,381,453,5,3
35,1,213.1111111,285.1111111,389,461,5,3
36,2,925,997,381,453,5,3
36,3,1541,1613,389,461,5,3
36,1,213.1666667,285.1666667,389,461,5,3
37,2,925,997,381,453,5,3
37,3,1533,1605,389,461,5,3
37,1,213.2222222,285.2222222,389,461,5,3
38,3,1533,1605,389,461,5,3
38,2,925,997,381,453,5,3
38,1,213.2777778,285.2777778,389,461,5,3
39,2,925,997,381,453,5,3
39,3,1525,1597,397,469,5,3
39,1,213.3333333,285.3333333,389,461,5,3
40,2,925,997,381,453,5,3
40,3,1525,1597,397,469,5,3
