frame,lady,x_start,x_end,y_start,y_end,movie,count
1,1,,,,,2,3
1,2,,,,,2,3
1,3,,,,,2,3
2,1,,,,,2,3
2,2,,,,,2,3
2,3,,,,,2,3
3,1,,,,,2,3
3,2,,,,,2,3
3,3,,,,,2,3
4,1,,,,,2,3
4,2,,,,,2,3
4,3,,,,,2,3
5,1,,,,,2,3
5,2,,,,,2,3
5,3,,,,,2,3
6,1,,,,,2,3
6,2,,,,,2,3
6,3,,,,,2,3
7,1,,,,,2,3
7,2,,,,,2,3
7,3,,,,,2,3
8,1,,,,,2,3
8,2,,,,,2,3
8,3,,,,,2,3
9,1,,,,,2,3
9,2,,,,,2,3
9,3,,,,,2,3
10,1,,,,,2,3
10,2,,,,,2,3
10,3,,,,,2,3
11,1,,,,,2,3
11,2,,,,,2,3
11,3,,,,,2,3
12,1,,,,,2,3
12,2,,,,,2,3
12,3,,,,,2,3
13,1,,,,,2,3
13,2,,,,,2,3
13,3,,,,,2,3
14,1,,,,,2,3
14,2,,,,,2,3
14,3,,,,,2,3
15,1,,,,,2,3
15,2,,,,,2,3
15,3,,,,,2,3
16,1,,,,,2,3
16,2,,,,,2,3
16,3,,,,,2,3
17,1,,,,,2,3
17,2,,,,,2,3
17,3,,,,,2,3
18,1,,,,,2,3
18,2,,,,,2,3
18,3,,,,,2,3
19,1,,,,,2,3
19,2,,,,,2,3
19,3,,,,,2,3
20,1,,,,,2,3
20,2,,,,,2,3
20,3,,,,,2,3
21,1,,,,,2,3
21,2,,,,,2,3
21,3,,,,,2,3
22,1,,,,,2,3
22,2,,,,,2,3
22,3,,,,,2,3
23,1,,,,,2,3
23,2,,,,,2,3
23,3,,,,,2,3
24,1,,,,,2,3
24,2,,,,,2,3
24,3,,,,,2,3
25,1,,,,,2,3
25,2,,,,,2,3
25,3,,,,,2,3
26,1,,,,,2,3
26,2,,,,,2,3
26,3,,,,,2,3
27,1,,,,,2,3
27,2,,,,,2,3
27,3,,,,,2,3
28,1,,,,,2,3
28,2,,,,,2,3
28,3,,,,,2,3
29,1,,,,,2,3
29,2,,,,,2,3
29,3,,,,,2,3
30,1,,,,,2,3
30,2,,,,,2,3
30,3,,,,,2,3
31,1,,,,,2,3
31,2,,,,,2,3
31,3,,,,,2,3
32,1,,,,,2,3
32,2,,,,,2,3
32,3,,,,,2,3
33,1,,,,,2,3
33,2,,,,,2,3
33,3,,,,,2,3
34,1,,,,,2,3
34,2,,,,,2,3
34,3,,,,,2,3
35,1,,,,,2,3
35,2,,,,,2,3
35,3,,,,,2,3
36,1,,,,,2,3
36,2,,,,,2,3
36,3,,,,,2,3
37,1,,,,,2,3
37,2,,,,,2,3
37,3,,,,,2,3
38,1,,,,,2,3
38,2,,,,,2,3
38,3,,,,,2,3
39,1,259,383,507,632,2,3
39,2,,,,,2,3
39,3,,,,,2,3
40,1,259,383,507,632,2,3
40,2,,,,,2,3
40,3,,,,,2,3
41,1,259,383,507,632,2,3
41,2,,,,,2,3
41,3,,,,,2,3
42,1,259,383,507,632,2,3
42,2,,,,,2,3
42,3,,,,,2,3
43,1,259,383,507,632,2,3
43,2,906,1010,469,572,2,3
43,3,,,,,2,3
44,1,259,365,507,584,2,3
44,2,906.3333333,1010.333333,469,572,2,3
44,3,,,,,2,3
45,1,260,374,493.5,608,2,3
45,2,906.6666667,1010.666667,469,572,2,3
45,3,1517,1621,423,526,2,3
